timestamp,script,config_summary,method,headline_metric,verdict,notes,backfilled
2026-08-24T22:29:34,walkforward.py --rolling_folds,tickers=prime(max=30) years=3 capital=1000000 risk_pct=0.005 lot_size=1 min_signals=None trailing_stop=False max_positions_per_industry=None correlation_window=None max_avg_correlation=None target_portfolio_beta=None max_drawdown_pct=None nikkei_crash_pct=None beta_weighted_halt_pct=None overhead_supply_window=120 max_overhead_supply_ratio=0.35 rolling_folds=3,rolling_folds,"pooled_expectancy_pct=[np.float64(3.29), np.float64(2.52), np.float64(1.33)] shared_sqn=[2.44, 1.2, 0.52]",info,自動記録。採用/不採用の判断は別途人間が行う。,False
2026-08-24T22:33:57,walkforward.py --rolling_folds,tickers=prime(max=300) years=6 capital=1000000 risk_pct=0.005 lot_size=1 min_signals=None trailing_stop=False max_positions_per_industry=1 correlation_window=None max_avg_correlation=None target_portfolio_beta=None max_drawdown_pct=30.0 nikkei_crash_pct=5.0 beta_weighted_halt_pct=5.0 overhead_supply_window=120 max_overhead_supply_ratio=0.25 rolling_folds=3,rolling_folds,"pooled_expectancy_pct=[np.float64(1.22), np.float64(1.33), np.float64(1.6)] shared_sqn=[1.44, 1.43, 1.54]",info,自動記録。採用/不採用の判断は別途人間が行う。,False
2026-08-24T22:36:40,backtest.strategy (overhead_supply_window/max_overhead_supply_ratio),overhead_supply_window=120 max_overhead_supply_ratio=0.05/0.15/0.25/0.35 rolling_folds=3(30銘柄予備→300銘柄本検証),rolling_folds + smoke test,"300銘柄0.25: shared_sqn=[1.44,1.43,1.54](通常[1.63,2.00,2.37]) pooled_expectancy_pct=[1.22,1.33,1.60](通常[1.26,1.27,1.67])。30銘柄予備検証(閾値0.05/0.15/0.25/0.35)でも全閾値でfold2・fold3が基準より悪化。",rejected,2026-08-24。やれやれ売り(過去の出来高集中=戻り売り圧力)フィルター。ユーザー発案。全閾値・規模で一貫して悪化。壁を超えて伸びる勝ちトレードまで一緒に弾いていると考えられる。,False
2026-08-24T22:51:11,pipeline/dividend pre-runup analysis (実装せず),117銘柄5年916イベントのイベントスタディ→150銘柄6年652トレードでの実トレード影響検証,event_study + trade-level impact analysis,イベント単独では直前20日騰落率が3-5日後の超過下落と相関(rho-0.27~-0.33、前半後半とも再現)。しかし実際のトレード652件で見ると、保有中に配当落ちを含むトレードはむしろ好成績(pnl2.89% vs なし1.34%)、かつ高騰落り群(3.93%)>低騰落り群(1.83%)と逆方向。,rejected,2026-08-24。配当PDFの提案(直前上昇率で超過下落を予測)を検証。イベント単体では実在する相関だが、このモデルの実際のトレードでは「配当前に上昇していた銘柄」は元々好調な勝ちトレードに偏っており、権利落ち前後で早期利確する介入は勝ちトレードを短く切ることになり逆効果と判断。実装しないことを決定。トレーリングストップ・やれやれ売りフィルターと同じ「利益を伸ばすトレードを途中で切る」失敗パターン。,False
2026-08-24T22:59:50,walkforward.py --rolling_folds,tickers=prime(max=300) years=6 capital=1000000 risk_pct=0.005 lot_size=1 min_signals=None trailing_stop=False max_positions_per_industry=2 correlation_window=None max_avg_correlation=None target_portfolio_beta=None max_drawdown_pct=30.0 nikkei_crash_pct=5.0 beta_weighted_halt_pct=5.0 overhead_supply_window=None max_overhead_supply_ratio=None rolling_folds=3,rolling_folds,"pooled_expectancy_pct=[np.float64(1.24), np.float64(1.31), np.float64(1.6)] shared_sqn=[2.18, 1.49, 2.4]",info,自動記録。採用/不採用の判断は別途人間が行う。,False
2026-08-24T23:00:33,walkforward.py --rolling_folds,tickers=prime(max=300) years=6 capital=1000000 risk_pct=0.005 lot_size=1 min_signals=None trailing_stop=False max_positions_per_industry=None correlation_window=None max_avg_correlation=None target_portfolio_beta=None max_drawdown_pct=30.0 nikkei_crash_pct=5.0 beta_weighted_halt_pct=5.0 overhead_supply_window=None max_overhead_supply_ratio=None rolling_folds=3,rolling_folds,"pooled_expectancy_pct=[np.float64(1.23), np.float64(1.31), np.float64(1.6)] shared_sqn=[0.75, 0.87, 1.81]",info,自動記録。採用/不採用の判断は別途人間が行う。,False
2026-08-24T23:03:55,walkforward.py --rolling_folds,tickers=prime(max=300) years=6 capital=1000000 risk_pct=0.005 lot_size=1 min_signals=None trailing_stop=False max_positions_per_industry=3 correlation_window=None max_avg_correlation=None target_portfolio_beta=None max_drawdown_pct=30.0 nikkei_crash_pct=5.0 beta_weighted_halt_pct=5.0 overhead_supply_window=None max_overhead_supply_ratio=None rolling_folds=3,rolling_folds,"pooled_expectancy_pct=[np.float64(1.24), np.float64(1.31), np.float64(1.6)] shared_sqn=[1.33, 1.42, 1.83]",info,自動記録。採用/不採用の判断は別途人間が行う。,False
2026-08-24T23:54:28,walkforward.py --rolling_folds,tickers=prime(max=300) years=6 capital=1000000 risk_pct=0.005 lot_size=1 min_signals=None trailing_stop=False max_positions_per_industry=1 correlation_window=None max_avg_correlation=None target_portfolio_beta=None max_drawdown_pct=30.0 nikkei_crash_pct=5.0 beta_weighted_halt_pct=5.0 overhead_supply_window=None max_overhead_supply_ratio=None min_industry_momentum_pct=0.0 rolling_folds=3,rolling_folds,"pooled_expectancy_pct=[np.float64(1.21), np.float64(1.32), np.float64(1.61)] shared_sqn=[1.17, 0.51, 3.3]",info,自動記録。採用/不採用の判断は別途人間が行う。,False
2026-08-24T23:58:27,walkforward.py --rolling_folds,tickers=prime(max=300) years=6 capital=1000000 risk_pct=0.005 lot_size=1 min_signals=None trailing_stop=False max_positions_per_industry=1 correlation_window=None max_avg_correlation=None target_portfolio_beta=None max_drawdown_pct=30.0 nikkei_crash_pct=5.0 beta_weighted_halt_pct=5.0 overhead_supply_window=None max_overhead_supply_ratio=None min_industry_momentum_pct=0.3 rolling_folds=3,rolling_folds,"pooled_expectancy_pct=[np.float64(1.22), np.float64(1.31), np.float64(1.61)] shared_sqn=[0.6, 2.12, 2.51]",info,自動記録。採用/不採用の判断は別途人間が行う。,False
2026-08-24T23:59:05,backtest.strategy (min_industry_momentum_pct),min_industry_momentum_pct=0/0.3、300銘柄6年、業種分散(上限1)+サーキットブレーカー、rolling_folds=3,post-hoc trade analysis(相関+四分位、前半後半split) + rolling_folds,"事後分析: rho=+0.137(四分位でQ1-0.15%->Q4+4.29%と単調)だが前半後半split(+0.031/+0.192)で再現性が弱い。300銘柄本検証: 閾値0 shared_sqn=[1.17,0.51,3.30](通常[1.63,2.00,2.37])、閾値0.3 shared_sqn=[0.60,2.12,2.51]。fold1が両閾値で一貫して悪化。",rejected,2026-08-25。ユーザー提案(業種別モメンタム・出来高把握、PDFの提案は外部スクレイピングだったが既存daily_metricsからの計算に置き換え)。出来高急増は相関ほぼゼロ(rho+0.049、非単調)で試すまでもなく除外。モメンタムは事後分析では有望に見えたが、実際の閾値フィルターとしてはfold間で一貫性を欠き不採用。情報表示用のpipeline/industry_momentum.pyは有用なので残す(トレードロジックには使わない)。,False
2026-08-26T18:54:24,post-hoc analysis (実装せず): obv_divergence_flagの連続日数、規模(売買代金)による効き方の違い,300銘柄6年、実トレードベースの事後分析(2種),post-hoc trade analysis,規模: rho=-0.033(五分位も非単調、前半後半で符号反転)。連続日数: rho=+0.006、3連続以上(1.28%)が1-2連続(1.66%)より悪い。obv不成立トレード(2.67%)が最良。,rejected,2026-08-25。他のAIとの会話(ENEOS個別銘柄の分析)から示唆された2つの仮説: (1)OBVダイバージェンスは超大型株では効きにくい (2)シグナルが連続して出るほど信頼度が高い。どちらも実トレードでは裏付けが取れず。既存ロジック(真偽のみで判定、規模による差別化なし)は変更しない。,False
